0.33098,0.88409
0.31397,0.79618
0.28112,0.79318
0.23486,0.79525
0.17757,0.79832
0.09603,0.80177
0.071394,0.80535
1.0173,0.80874
0.81341,0.81176
0.7061,0.81423
0.67605,0.81604
0.67302,0.81712
0.69082,0.81749
-0.3519,0.81721
-0.20588,0.81641
-0.10892,0.81523
-0.081901,0.81385
-0.074189,0.81245
-0.0097893,0.81119
1.0173,0.8102
0.88087,0.80958
0.8233,0.80936
0.82295,0.80954
0.82928,0.81007
0.83768,0.81086
-0.23006,0.81181
-0.12028,0.81278
-0.065738,0.81367
-0.082071,0.81436
-0.11379,0.81479
-0.08086,0.81491
0.92555,0.81472
0.78078,0.81427
0.72714,0.8136
0.74167,0.81282
0.77138,0.81202
0.8084,0.8113
-0.22912,0.81075
-0.091119,0.81043
-0.013506,0.81038
-0.014308,0.81059
-0.03943,0.81104
-0.0091258,0.81166
0.98624,0.81238
0.82372,0.81311
0.74809,0.81376
0.73921,0.81424
0.74693,0.81449
0.76597,0.81449
-0.28353,0.81424
-0.15033,0.81376
-0.070061,0.81311
-0.061382,0.81238
-0.071634,0.81166
-0.023113,0.81104
0.99143,0.81059
0.84663,0.81038
0.7851,0.81043
0.78505,0.81075
0.79539,0.8113
0.81072,0.81202
-0.24814,0.81282
-0.12855,0.8136
-0.064217,0.81427
-0.071609,0.81472
-0.095898,0.81491
-0.05751,0.81479
0.95212,0.81436
0.80823,0.81367
0.75319,0.81278
0.76419,0.81181
0.78846,0.81086
0.81844,0.81007
-0.22737,0.80954
-0.09849,0.80936
-0.030337,0.80958
-0.040325,0.8102
-0.073618,0.81119
-0.049591,0.81245
0.9424,0.81385
0.78052,0.81523
0.7107,0.81641
0.7139,0.81721
0.74093,0.81749
0.78718,0.81712
-0.22694,0.81604
-0.050279,0.81423
0.080798,0.81176
0.14727,0.80874
0.21714,0.80535
0.28881,0.80177
0.35723,0.79832
0.41824,0.79525
0.46789,0.79318
0.50293,0.79618
0.52106,0.88409
